Complaint_ID,City,Area,Complaint_Type,Complaint_Count,Population,Weather,Timestamp,Previous_Complaints,Severity
MMR-14000,Navi Mumbai,Dronagiri,Water,14,107639,Cloudy,2026-03-04 21:54:20,176,Low
MMR-2476,Mumbai,Ghatkopar,Drainage,21,454137,Sunny,2026-03-04 21:58:47,44,Low
MMR-4267,Mumbai,Wadala,Water,88,286823,Rainy,2026-03-04 21:59:09,117,Medium
MMR-19023,Navi Mumbai,Kharghar,Garbage,30,298934,Sunny,2026-03-04 22:00:53,46,Medium
MMR-16885,Mumbai,Thane,Drainage,40,763017,Sunny,2026-03-04 22:01:08,52,Medium
MMR-12485,Mumbai,Vikhroli,Garbage,24,285373,Rainy,2026-03-04 22:04:15,138,Low
MMR-3449,Mumbai,Lower Parel,Water,50,221435,Sunny,2026-03-04 22:06:57,128,Medium
MMR-6351,Navi Mumbai,New Panvel,Garbage,21,224702,Sunny,2026-03-04 22:10:22,95,Medium
MMR-5887,Mumbai,Malad,Roads,66,558768,Sunny,2026-03-04 22:10:25,106,Medium
MMR-11019,Mumbai,Chembur,Roads,60,394330,Sunny,2026-03-04 22:14:24,55,High
MMR-1344,Mumbai,Malad,Garbage,10,579981,Rainy,2026-03-04 22:15:47,57,Low
MMR-17996,Mumbai,Kandivali,Garbage,100,586843,Cloudy,2026-03-04 22:15:52,160,High
MMR-3298,Mumbai,Bandra,Water,13,298072,Cloudy,2026-03-04 22:16:33,88,High
MMR-17071,Navi Mumbai,Ghansoli,Water,92,208273,Sunny,2026-03-04 22:17:47,115,Low
MMR-3609,Navi Mumbai,New Panvel,Roads,51,236934,Sunny,2026-03-04 22:18:44,135,Low
MMR-19769,Navi Mumbai,Nerul,Water,90,275558,Sunny,2026-03-04 22:19:41,110,High
MMR-15469,Navi Mumbai,Vashi,Water,84,287067,Sunny,2026-03-04 22:19:59,134,High
MMR-20324,Mumbai,Ghatkopar,Water,18,456908,Sunny,2026-03-04 22:24:39,25,High
MMR-7734,Mumbai,Bhayander,Garbage,37,497360,Cloudy,2026-03-04 22:25:19,45,High
MMR-3122,Navi Mumbai,Roadpali,Garbage,9,130936,Cloudy,2026-03-04 22:26:15,170,Low
MMR-6233,Navi Mumbai,Dronagiri,Drainage,4,110338,Sunny,2026-03-04 22:31:33,7,Low
MMR-18350,Mumbai,Andheri,Roads,45,915477,Sunny,2026-03-04 22:32:17,87,Medium
MMR-1774,Mumbai,Churchgate,Drainage,10,124073,Rainy,2026-03-04 22:35:10,176,Low
MMR-14888,Navi Mumbai,Sanpada,Drainage,43,171599,Rainy,2026-03-04 22:35:55,71,Medium
MMR-20429,Navi Mumbai,Kalamboli,Water,11,187691,Rainy,2026-03-04 22:36:37,121,Low
MMR-6706,Mumbai,Hiranandani,Garbage,89,152456,Sunny,2026-03-04 22:40:14,117,Low
MMR-2921,Mumbai,Matunga,Drainage,29,263326,Sunny,2026-03-04 22:41:23,41,Medium
MMR-9641,Navi Mumbai,Kopar Khairane,Water,7,211608,Rainy,2026-03-04 22:41:30,6,Low
MMR-2935,Mumbai,Powai,Roads,17,333459,Rainy,2026-03-04 22:41:56,187,Medium
MMR-10055,Navi Mumbai,Vashi,Roads,60,317029,Sunny,2026-03-04 22:43:18,13,Medium
MMR-12763,Mumbai,Sion,Roads,62,330308,Sunny,2026-03-04 22:47:05,147,Medium
MMR-13920,Mumbai,Dadar,Water,30,465847,Cloudy,2026-03-04 22:49:39,99,Medium
MMR-19539,Navi Mumbai,New Panvel,Drainage,14,246699,Sunny,2026-03-04 22:50:56,21,Medium
MMR-7580,Navi Mumbai,Ghansoli,Drainage,78,198795,Sunny,2026-03-04 22:51:46,104,High
MMR-7141,Mumbai,Bandra,Garbage,34,331683,Sunny,2026-03-04 22:52:45,162,High
MMR-20304,Navi Mumbai,Dronagiri,Water,4,108567,Rainy,2026-03-04 22:54:17,2,Low
MMR-2645,Mumbai,Goregaon,Water,35,458057,Cloudy,2026-03-04 23:00:42,23,Medium
MMR-19528,Navi Mumbai,Dronagiri,Roads,35,118661,Rainy,2026-03-04 23:02:36,173,Low
MMR-1397,Mumbai,Thane,Water,60,750688,Cloudy,2026-03-04 23:05:31,44,High
MMR-9233,Mumbai,Andheri,Roads,70,821579,Rainy,2026-03-04 23:10:19,120,Low
MMR-5651,Navi Mumbai,Pushpak Nagar,Garbage,4,114972,Sunny,2026-03-04 23:10:22,6,Low
MMR-20172,Navi Mumbai,Belapur,Water,75,261773,Sunny,2026-03-04 23:10:38,132,Low
MMR-19955,Mumbai,Kandivali,Drainage,30,657561,Rainy,2026-03-04 23:11:31,53,High
MMR-10388,Navi Mumbai,Taloja,Garbage,86,172458,Sunny,2026-03-04 23:11:37,70,High
MMR-8056,Mumbai,Thane,Water,45,666137,Sunny,2026-03-04 23:15:16,54,Low
MMR-5317,Mumbai,Worli,Drainage,81,239017,Cloudy,2026-03-04 23:15:45,51,Medium
MMR-1981,Navi Mumbai,Seawoods,Drainage,7,181002,Rainy,2026-03-04 23:16:30,7,Medium
MMR-17005,Mumbai,Juhu,Roads,27,188308,Cloudy,2026-03-04 23:18:06,24,Medium
MMR-19162,Mumbai,Matunga,Garbage,25,275603,Sunny,2026-03-04 23:19:03,33,High
MMR-15729,Navi Mumbai,Taloja,Water,13,174935,Sunny,2026-03-04 23:19:16,10,Medium
MMR-18701,Mumbai,Vikhroli,Water,23,325284,Rainy,2026-03-04 23:20:43,145,Low
MMR-16157,Mumbai,Borivali,Water,25,608403,Sunny,2026-03-04 23:25:25,145,Low
MMR-11491,Mumbai,CST,Drainage,92,130054,Sunny,2026-03-04 23:30:44,104,High
MMR-2188,Navi Mumbai,Pushpak Nagar,Garbage,9,115772,Sunny,2026-03-04 23:32:09,11,Medium
MMR-15861,Mumbai,Kandivali,Roads,78,594865,Sunny,2026-03-04 23:40:15,126,Medium
MMR-15989,Navi Mumbai,Juinagar,Water,36,157526,Sunny,2026-03-04 23:41:44,35,High
MMR-6590,Navi Mumbai,Belapur,Drainage,21,240209,Sunny,2026-03-04 23:42:56,16,Low
MMR-15934,Mumbai,Ghatkopar,Roads,21,478190,Sunny,2026-03-04 23:44:13,36,Low
MMR-10079,Mumbai,CST,Garbage,10,138757,Sunny,2026-03-04 23:48:10,8,Low
MMR-5828,Mumbai,Dadar,Garbage,68,467190,Cloudy,2026-03-04 23:48:23,80,High
MMR-5992,Mumbai,Jogeshwari,Drainage,43,392132,Rainy,2026-03-04 23:49:45,65,Medium
MMR-5163,Mumbai,Dadar,Water,50,477806,Cloudy,2026-03-04 23:50:20,64,Medium
MMR-17307,Mumbai,Chembur,Water,30,407935,Rainy,2026-03-04 23:51:03,87,Low
MMR-16032,Mumbai,Dadar,Roads,79,537101,Sunny,2026-03-04 23:51:21,184,High
MMR-19143,Mumbai,Sion,Roads,47,365414,Rainy,2026-03-04 23:51:49,96,Low
MMR-5958,Mumbai,Jogeshwari,Water,25,426753,Sunny,2026-03-04 23:56:10,19,Low
MMR-13072,Mumbai,Hiranandani,Garbage,19,155010,Sunny,2026-03-04 23:57:38,76,High
MMR-16233,Mumbai,Borivali,Water,39,582708,Sunny,2026-03-04 23:59:46,63,High
MMR-6932,Mumbai,Goregaon,Roads,35,500974,Rainy,2026-03-05 00:00:07,21,Medium
MMR-6689,Mumbai,Kurla,Drainage,55,418128,Cloudy,2026-03-05 00:02:11,70,High
MMR-4694,Mumbai,Mulund,Water,35,341301,Rainy,2026-03-05 00:06:27,157,Low
MMR-4444,Mumbai,Vikhroli,Water,14,310315,Rainy,2026-03-05 00:06:41,156,Medium
MMR-3102,Navi Mumbai,Airoli,Drainage,23,217660,Cloudy,2026-03-05 00:07:45,33,Medium
MMR-3132,Mumbai,Vile Parle,Drainage,72,332483,Sunny,2026-03-05 00:10:49,30,High
MMR-2885,Mumbai,Churchgate,Roads,99,119411,Rainy,2026-03-05 00:11:12,120,Low
MMR-19544,Mumbai,Fort,Roads,4,156615,Sunny,2026-03-05 00:11:21,4,Low
MMR-14236,Navi Mumbai,Panvel,Drainage,95,386463,Rainy,2026-03-05 00:11:32,102,Low
MMR-10574,Navi Mumbai,Kalamboli,Drainage,17,214441,Sunny,2026-03-05 00:12:09,19,Medium
MMR-12767,Mumbai,Andheri,Drainage,39,886728,Sunny,2026-03-05 00:12:14,48,Medium
MMR-4780,Navi Mumbai,Nerul,Drainage,27,260422,Cloudy,2026-03-05 00:13:00,0,Low
MMR-12940,Navi Mumbai,Kamothe,Roads,15,241222,Sunny,2026-03-05 00:16:11,20,Medium
MMR-4700,Navi Mumbai,Nerul,Water,14,284181,Sunny,2026-03-05 00:17:01,69,Low
MMR-12651,Mumbai,Worli,Garbage,30,235765,Sunny,2026-03-05 00:26:23,35,Medium
MMR-10993,Mumbai,Dadar,Water,14,471485,Sunny,2026-03-05 00:26:59,14,Low
MMR-4271,Navi Mumbai,New Panvel,Water,70,223674,Sunny,2026-03-05 00:28:51,174,Medium
MMR-20761,Mumbai,Sion,Water,80,362145,Sunny,2026-03-05 00:29:03,79,Medium
MMR-3017,Mumbai,Bandra,Roads,17,332979,Sunny,2026-03-05 00:34:36,29,Low
MMR-6533,Mumbai,Goregaon,Drainage,39,498313,Sunny,2026-03-05 00:35:14,30,Medium
MMR-2083,Navi Mumbai,Pushpak Nagar,Garbage,4,122489,Sunny,2026-03-05 00:35:29,3,High
MMR-3661,Mumbai,Malad,Garbage,16,589781,Cloudy,2026-03-05 00:39:22,25,Medium
MMR-2406,Navi Mumbai,Kalamboli,Water,17,200699,Sunny,2026-03-05 00:43:23,17,Medium
MMR-8312,Mumbai,Sion,Roads,50,353240,Cloudy,2026-03-05 00:44:22,55,Medium
MMR-12332,Mumbai,Churchgate,Roads,58,117702,Sunny,2026-03-05 00:45:14,47,Low
MMR-2459,Mumbai,Powai,Water,72,287881,Sunny,2026-03-05 00:45:15,87,Low
MMR-17191,Mumbai,Wadala,Drainage,36,266862,Cloudy,2026-03-05 00:49:22,40,Medium
MMR-6502,Navi Mumbai,Sanpada,Water,2,167852,Cloudy,2026-03-05 00:49:30,2,Low
MMR-1741,Navi Mumbai,Belapur,Water,89,272714,Cloudy,2026-03-05 00:51:03,93,High
MMR-3501,Navi Mumbai,Ghansoli,Garbage,7,195973,Sunny,2026-03-05 00:52:14,168,Low
MMR-5993,Mumbai,Matunga,Roads,16,252988,Sunny,2026-03-05 00:57:39,16,Medium
MMR-20627,Navi Mumbai,Pushpak Nagar,Water,3,128431,Sunny,2026-03-05 00:58:18,4,Medium
MMR-2675,Mumbai,Andheri,Drainage,62,787287,Sunny,2026-03-05 00:58:59,39,High
MMR-9031,Mumbai,Powai,Water,20,309371,Cloudy,2026-03-05 01:05:22,33,High
MMR-18011,Navi Mumbai,Sanpada,Drainage,8,177930,Sunny,2026-03-05 01:06:39,8,Low
MMR-20039,Mumbai,Versova,Garbage,37,179830,Cloudy,2026-03-05 01:08:56,60,Low
MMR-19453,Mumbai,Juhu,Roads,89,192455,Sunny,2026-03-05 01:09:07,61,Low
MMR-9068,Mumbai,Goregaon,Water,42,507975,Sunny,2026-03-05 01:09:36,89,Medium
MMR-15946,Navi Mumbai,New Panvel,Drainage,96,223582,Rainy,2026-03-05 01:10:16,88,High
MMR-16183,Mumbai,Dadar,Drainage,37,523005,Cloudy,2026-03-05 01:12:11,43,High
MMR-3923,Mumbai,Ghatkopar,Water,25,475651,Cloudy,2026-03-05 01:18:02,25,High
MMR-4635,Navi Mumbai,Nerul,Drainage,16,282792,Cloudy,2026-03-05 01:19:11,155,Low
MMR-5060,Mumbai,Versova,Garbage,15,188734,Cloudy,2026-03-05 01:20:43,25,Low
MMR-17456,Navi Mumbai,Kalamboli,Water,15,197623,Rainy,2026-03-05 01:22:25,13,Medium
MMR-18417,Mumbai,Worli,Water,22,240438,Sunny,2026-03-05 01:22:34,90,Low
MMR-8366,Mumbai,Vile Parle,Roads,28,348274,Cloudy,2026-03-05 01:24:05,38,Medium
MMR-3879,Mumbai,Kandivali,Garbage,96,608011,Sunny,2026-03-05 01:24:06,72,High
MMR-1406,Mumbai,Kurla,Roads,41,410230,Rainy,2026-03-05 01:26:34,169,Medium
MMR-14047,Navi Mumbai,New Panvel,Roads,8,228575,Rainy,2026-03-05 01:27:31,13,Medium
MMR-3459,Mumbai,Chembur,Garbage,6,403533,Sunny,2026-03-05 01:28:54,45,High
MMR-14284,Navi Mumbai,Dronagiri,Drainage,27,114793,Cloudy,2026-03-05 01:30:12,31,Low
MMR-4392,Mumbai,Bhayander,Garbage,73,503840,Sunny,2026-03-05 01:31:14,169,High
MMR-5453,Mumbai,Kurla,Garbage,64,442764,Cloudy,2026-03-05 01:34:11,51,High
MMR-11181,Mumbai,Fort,Drainage,11,160226,Sunny,2026-03-05 01:35:09,18,Low
MMR-8725,Navi Mumbai,New Panvel,Water,11,246194,Sunny,2026-03-05 01:38:19,14,Medium
MMR-18178,Navi Mumbai,Juinagar,Drainage,16,153252,Cloudy,2026-03-05 01:40:56,144,Medium
MMR-17871,Navi Mumbai,New Panvel,Garbage,46,233080,Sunny,2026-03-05 01:41:44,70,Medium
MMR-10335,Mumbai,Jogeshwari,Drainage,31,416332,Cloudy,2026-03-05 01:42:09,52,Medium
MMR-20267,Mumbai,Malad,Garbage,67,546656,Rainy,2026-03-05 01:43:24,109,Medium
MMR-4016,Navi Mumbai,Ulwe,Water,11,140425,Sunny,2026-03-05 01:44:08,157,Medium
MMR-10320,Navi Mumbai,Airoli,Garbage,13,247305,Sunny,2026-03-05 01:44:40,7,High
MMR-11092,Mumbai,Jogeshwari,Water,8,378811,Rainy,2026-03-05 01:44:48,5,Low
MMR-9155,Mumbai,Chembur,Drainage,53,403283,Rainy,2026-03-05 01:48:50,37,Medium
MMR-2065,Mumbai,Mulund,Water,65,358254,Cloudy,2026-03-05 01:52:05,89,Medium
MMR-12808,Mumbai,Borivali,Garbage,63,622332,Sunny,2026-03-05 01:54:32,57,High
MMR-15197,Mumbai,Thane,Water,79,741544,Sunny,2026-03-05 01:57:42,123,High
MMR-6749,Navi Mumbai,Kopar Khairane,Garbage,84,220966,Sunny,2026-03-05 01:58:11,63,High
MMR-4144,Mumbai,Bhayander,Water,44,558077,Sunny,2026-03-05 02:00:28,40,High
MMR-5386,Mumbai,CST,Water,8,122733,Cloudy,2026-03-05 02:00:32,9,Medium
MMR-3655,Mumbai,Juhu,Garbage,5,188878,Sunny,2026-03-05 02:08:15,50,High
MMR-11459,Mumbai,Borivali,Water,55,621092,Sunny,2026-03-05 02:08:53,95,Low
MMR-5649,Mumbai,Dharavi,Drainage,58,651945,Rainy,2026-03-05 02:09:35,49,Low
MMR-8043,Mumbai,Kurla,Drainage,33,404632,Sunny,2026-03-05 02:09:37,52,High
MMR-13415,Mumbai,Hiranandani,Water,67,153389,Cloudy,2026-03-05 02:10:37,64,High
MMR-13154,Navi Mumbai,Kalamboli,Drainage,5,188293,Sunny,2026-03-05 02:15:37,147,High
MMR-7072,Mumbai,Sion,Drainage,1,351767,Sunny,2026-03-05 02:16:32,174,Low
MMR-14176,Navi Mumbai,Airoli,Drainage,17,237825,Rainy,2026-03-05 02:23:31,107,Low
MMR-13515,Navi Mumbai,Vashi,Garbage,13,309246,Sunny,2026-03-05 02:26:13,22,Low
MMR-16736,Mumbai,Dadar,Garbage,52,517333,Cloudy,2026-03-05 02:29:30,129,Medium
MMR-13845,Mumbai,Churchgate,Water,13,117483,Sunny,2026-03-05 02:29:55,15,Low
MMR-15162,Navi Mumbai,Taloja,Garbage,12,169579,Sunny,2026-03-05 02:31:14,141,High
MMR-5769,Navi Mumbai,Airoli,Roads,75,217556,Cloudy,2026-03-05 02:31:41,93,Low
MMR-19818,Navi Mumbai,Turbhe,Water,32,188774,Cloudy,2026-03-05 02:31:52,25,Medium
MMR-18459,Mumbai,Santacruz,Water,20,276967,Sunny,2026-03-05 02:36:29,29,Low
MMR-1515,Mumbai,Hiranandani,Water,29,159232,Rainy,2026-03-05 02:37:37,49,Low
MMR-20018,Navi Mumbai,Dronagiri,Water,28,117835,Cloudy,2026-03-05 02:38:17,14,Medium
MMR-11914,Mumbai,Vikhroli,Drainage,67,310389,Sunny,2026-03-05 02:43:46,121,Medium
MMR-12964,Mumbai,Vile Parle,Drainage,46,332178,Rainy,2026-03-05 02:48:42,61,High
MMR-7766,Mumbai,Andheri,Garbage,73,899109,Rainy,2026-03-05 02:52:40,119,High
MMR-17586,Mumbai,Churchgate,Roads,8,125161,Sunny,2026-03-05 02:53:04,9,Low
MMR-12246,Navi Mumbai,Panvel,Roads,22,382395,Cloudy,2026-03-05 03:01:31,15,Medium
MMR-18723,Mumbai,Borivali,Garbage,49,601868,Cloudy,2026-03-05 03:03:18,45,Low
MMR-13217,Navi Mumbai,Taloja,Roads,1,183928,Sunny,2026-03-05 03:03:43,188,Low
MMR-13862,Mumbai,Mulund,Drainage,26,384053,Sunny,2026-03-05 03:04:07,28,Low
MMR-13650,Mumbai,Vikhroli,Garbage,97,333305,Sunny,2026-03-05 03:05:17,7,High
MMR-18603,Navi Mumbai,Sanpada,Drainage,57,174387,Cloudy,2026-03-05 03:08:35,166,Low
MMR-13881,Mumbai,Fort,Roads,12,147084,Rainy,2026-03-05 03:09:02,13,Medium
MMR-9926,Mumbai,Santacruz,Roads,1,272989,Sunny,2026-03-05 03:10:22,132,Low
MMR-15058,Navi Mumbai,Seawoods,Water,31,192350,Sunny,2026-03-05 03:11:16,50,High
MMR-13392,Navi Mumbai,Kamothe,Roads,17,217381,Rainy,2026-03-05 03:13:16,8,Low
MMR-7755,Mumbai,Kandivali,Drainage,73,583231,Sunny,2026-03-05 03:15:13,127,Low
MMR-9347,Mumbai,Mulund,Water,50,381457,Cloudy,2026-03-05 03:16:04,54,Medium
MMR-10380,Mumbai,Vile Parle,Roads,26,345766,Cloudy,2026-03-05 03:16:34,4,Medium
MMR-12503,Navi Mumbai,Dronagiri,Water,5,103342,Cloudy,2026-03-05 03:16:42,2,Low
MMR-6214,Navi Mumbai,Dronagiri,Garbage,7,105109,Rainy,2026-03-05 03:20:26,8,Low
MMR-10272,Navi Mumbai,Kalamboli,Water,13,193950,Rainy,2026-03-05 03:21:48,18,Low
MMR-8721,Mumbai,Ghatkopar,Garbage,32,475593,Sunny,2026-03-05 03:27:21,18,Low
MMR-1058,Mumbai,Sion,Water,35,314180,Sunny,2026-03-05 03:27:27,37,Low
MMR-3083,Mumbai,Borivali,Water,62,594254,Sunny,2026-03-05 03:29:12,52,Medium
MMR-12534,Navi Mumbai,Juinagar,Drainage,13,161758,Rainy,2026-03-05 03:32:23,8,Low
MMR-14819,Mumbai,Dharavi,Garbage,39,705987,Sunny,2026-03-05 03:33:54,54,Low
MMR-6041,Mumbai,Borivali,Garbage,66,566173,Cloudy,2026-03-05 03:36:53,116,Medium
MMR-9332,Mumbai,Churchgate,Garbage,12,113725,Cloudy,2026-03-05 03:37:19,9,Medium
MMR-20595,Navi Mumbai,New Panvel,Garbage,64,232975,Sunny,2026-03-05 03:41:45,151,Low
MMR-12239,Mumbai,Dharavi,Garbage,23,679860,Sunny,2026-03-05 03:42:09,81,Medium
MMR-5751,Mumbai,Vikhroli,Water,21,290561,Cloudy,2026-03-05 03:44:21,171,Low
MMR-14787,Navi Mumbai,Ghansoli,Water,71,191995,Rainy,2026-03-05 03:47:10,100,High
MMR-11331,Navi Mumbai,Belapur,Drainage,23,272289,Sunny,2026-03-05 03:48:23,106,High
MMR-3789,Mumbai,Fort,Drainage,2,140010,Sunny,2026-03-05 03:50:10,3,High
MMR-8286,Mumbai,Parel,Garbage,19,267744,Rainy,2026-03-05 03:51:04,27,Medium
MMR-5010,Navi Mumbai,Roadpali,Drainage,8,129385,Sunny,2026-03-05 03:51:17,10,Low
MMR-13229,Mumbai,Versova,Roads,15,166649,Sunny,2026-03-05 03:56:08,22,High
MMR-13024,Mumbai,Parel,Garbage,44,271932,Cloudy,2026-03-05 03:56:29,72,High
MMR-12265,Mumbai,Andheri,Water,27,861992,Sunny,2026-03-05 04:01:37,32,Low
MMR-12042,Navi Mumbai,Panvel,Drainage,17,427935,Sunny,2026-03-05 04:02:34,9,High
MMR-9448,Mumbai,Goregaon,Garbage,34,512687,Sunny,2026-03-05 04:05:33,59,Low
MMR-1152,Mumbai,Fort,Roads,19,143391,Cloudy,2026-03-05 04:06:40,27,Low
MMR-11149,Navi Mumbai,Kharghar,Drainage,11,298924,Rainy,2026-03-05 04:07:43,14,Medium
MMR-1676,Navi Mumbai,Kharghar,Roads,43,305690,Cloudy,2026-03-05 04:08:27,185,Medium
MMR-12370,Mumbai,Borivali,Roads,3,599733,Sunny,2026-03-05 04:10:31,2,Low
MMR-7131,Navi Mumbai,Seawoods,Drainage,9,193265,Sunny,2026-03-05 04:18:07,171,Medium
MMR-9916,Mumbai,Kurla,Water,28,441480,Cloudy,2026-03-05 04:18:59,161,Low
MMR-3579,Mumbai,Borivali,Drainage,64,623670,Sunny,2026-03-05 04:19:27,104,Low
MMR-13695,Mumbai,Colaba,Roads,60,176793,Sunny,2026-03-05 04:19:30,63,High
MMR-15499,Navi Mumbai,Panvel,Roads,62,416956,Sunny,2026-03-05 04:27:16,102,High
MMR-10261,Mumbai,Fort,Garbage,1,142483,Rainy,2026-03-05 04:28:13,0,High
MMR-9609,Mumbai,Santacruz,Roads,9,291786,Rainy,2026-03-05 04:28:25,13,High
MMR-4259,Mumbai,Wadala,Drainage,24,302108,Sunny,2026-03-05 04:28:37,28,Low
MMR-7595,Mumbai,Juhu,Roads,16,202351,Rainy,2026-03-05 04:35:20,36,High
MMR-9678,Navi Mumbai,Kharghar,Drainage,79,301891,Cloudy,2026-03-05 04:35:22,40,Low
MMR-12002,Navi Mumbai,Vashi,Water,15,300218,Cloudy,2026-03-05 04:36:49,20,High
MMR-5030,Navi Mumbai,Taloja,Garbage,13,175484,Sunny,2026-03-05 04:43:13,9,High
MMR-8672,Navi Mumbai,Kamothe,Garbage,30,217675,Sunny,2026-03-05 04:47:02,47,Medium
MMR-15466,Mumbai,Juhu,Water,18,212641,Sunny,2026-03-05 04:47:45,19,Low
MMR-5219,Mumbai,Juhu,Roads,8,205488,Sunny,2026-03-05 04:48:40,3,Medium
MMR-3075,Navi Mumbai,Kamothe,Drainage,17,228017,Cloudy,2026-03-05 04:50:04,131,Medium
MMR-3816,Mumbai,Mulund,Roads,40,366538,Sunny,2026-03-05 04:50:08,37,Low
MMR-20602,Navi Mumbai,Juinagar,Water,10,160261,Rainy,2026-03-05 04:50:34,10,Medium
MMR-13974,Mumbai,Borivali,Drainage,36,555638,Sunny,2026-03-05 04:51:22,63,High
MMR-16373,Mumbai,Jogeshwari,Water,28,415322,Sunny,2026-03-05 04:53:12,151,Medium
MMR-19975,Mumbai,Borivali,Drainage,25,560972,Rainy,2026-03-05 04:55:22,197,Low
MMR-3384,Mumbai,Worli,Drainage,20,230739,Sunny,2026-03-05 05:01:19,107,High
MMR-8617,Mumbai,Dadar,Water,13,539695,Rainy,2026-03-05 05:01:55,103,Medium
MMR-16277,Navi Mumbai,Vashi,Roads,52,293555,Sunny,2026-03-05 05:03:36,113,Medium
MMR-11410,Mumbai,Chembur,Roads,86,394711,Sunny,2026-03-05 05:10:01,110,High
MMR-4724,Navi Mumbai,Nerul,Water,19,298378,Sunny,2026-03-05 05:11:27,22,Low
MMR-12335,Navi Mumbai,Juinagar,Roads,77,161767,Rainy,2026-03-05 05:12:05,103,Low
MMR-5432,Mumbai,Juhu,Drainage,54,205855,Rainy,2026-03-05 05:13:49,70,High
MMR-15396,Navi Mumbai,Turbhe,Garbage,11,175355,Sunny,2026-03-05 05:13:53,10,Low
MMR-20467,Mumbai,Goregaon,Roads,85,451218,Rainy,2026-03-05 05:14:52,32,High
MMR-1541,Mumbai,Chembur,Garbage,46,379529,Sunny,2026-03-05 05:17:09,1,Low
MMR-12087,Mumbai,Jogeshwari,Water,41,422502,Sunny,2026-03-05 05:21:03,40,High
MMR-8284,Navi Mumbai,Ulwe,Garbage,15,145786,Rainy,2026-03-05 05:21:46,186,High
MMR-19125,Navi Mumbai,Airoli,Garbage,39,241450,Sunny,2026-03-05 05:23:23,36,Low
MMR-20743,Mumbai,Wadala,Roads,5,294176,Cloudy,2026-03-05 05:23:32,4,Low
MMR-10743,Mumbai,Chembur,Drainage,56,392918,Cloudy,2026-03-05 05:25:14,125,Low
MMR-5119,Navi Mumbai,Juinagar,Roads,4,148309,Cloudy,2026-03-05 05:25:53,3,Low
MMR-4832,Mumbai,Santacruz,Garbage,1,315341,Cloudy,2026-03-05 05:26:52,0,Low
MMR-2575,Mumbai,Vile Parle,Garbage,54,310731,Rainy,2026-03-05 05:27:03,39,High
MMR-2138,Navi Mumbai,Kopar Khairane,Water,9,210744,Cloudy,2026-03-05 05:29:28,15,High
MMR-16567,Navi Mumbai,New Panvel,Drainage,42,255339,Cloudy,2026-03-05 05:30:22,171,High
MMR-2882,Navi Mumbai,Kamothe,Water,13,239064,Sunny,2026-03-05 05:39:51,64,Low
MMR-15488,Navi Mumbai,Dronagiri,Water,7,106311,Sunny,2026-03-05 05:40:24,107,Medium
MMR-20729,Mumbai,Chembur,Water,8,370478,Cloudy,2026-03-05 05:40:54,7,Low
MMR-17008,Navi Mumbai,Kalamboli,Drainage,8,197497,Sunny,2026-03-05 05:41:37,10,High
