Complaint_ID,Area,Complaint_Type,Complaint_Count,Population,Weather,Timestamp,Previous_Complaints,Severity
MUM-8842,Powai,Roads,68,300909,Rainy,2026-03-04 23:31:52,114,Medium
MUM-4472,Churchgate,Water,14,116409,Cloudy,2026-03-04 23:35:24,20,High
MUM-4331,Hiranandani,Roads,16,164503,Sunny,2026-03-04 23:36:10,10,Low
MUM-3427,Dadar,Garbage,40,508369,Sunny,2026-03-04 23:36:37,40,Medium
MUM-9845,Thane,Water,53,710335,Sunny,2026-03-04 23:39:44,31,Medium
MUM-1318,Versova,Roads,8,179891,Cloudy,2026-03-04 23:51:59,9,Medium
MUM-9405,Matunga,Drainage,18,263455,Sunny,2026-03-04 23:52:21,9,Low
MUM-2061,Santacruz,Water,32,300997,Sunny,2026-03-04 23:56:12,26,Medium
MUM-7820,Goregaon,Drainage,89,468125,Rainy,2026-03-04 23:56:35,152,Low
MUM-9558,Dadar,Drainage,20,498759,Rainy,2026-03-04 23:59:35,30,High
MUM-2329,Powai,Water,35,303502,Sunny,2026-03-04 23:59:56,35,Medium
MUM-2796,Powai,Water,15,317269,Sunny,2026-03-05 00:06:36,16,Medium
MUM-1900,Borivali,Water,71,582022,Cloudy,2026-03-05 00:12:24,66,High
MUM-3062,Andheri,Drainage,85,843448,Sunny,2026-03-05 00:20:20,138,High
MUM-4769,Goregaon,Garbage,31,475450,Sunny,2026-03-05 00:21:00,20,Medium
MUM-5310,Ghatkopar,Drainage,15,460408,Rainy,2026-03-05 00:22:10,21,Medium
MUM-10652,Wadala,Garbage,11,278174,Rainy,2026-03-05 00:27:42,14,Medium
MUM-7915,Juhu,Drainage,16,204786,Cloudy,2026-03-05 00:28:57,8,Low
MUM-6828,Malad,Roads,30,549217,Rainy,2026-03-05 00:32:52,44,Medium
MUM-4606,Ghatkopar,Water,15,465043,Cloudy,2026-03-05 00:39:23,26,Medium
MUM-2220,Bhayander,Water,37,512676,Sunny,2026-03-05 00:39:38,20,Medium
MUM-4926,Matunga,Drainage,22,260566,Sunny,2026-03-05 00:43:03,39,Medium
MUM-6484,Kurla,Garbage,64,434158,Sunny,2026-03-05 00:55:32,102,High
MUM-10531,Kurla,Water,46,433999,Sunny,2026-03-05 00:59:40,28,Low
MUM-7484,Goregaon,Drainage,29,465677,Sunny,2026-03-05 01:05:31,31,Medium
MUM-4570,Matunga,Garbage,19,256241,Sunny,2026-03-05 01:06:40,31,Medium
MUM-8916,Colaba,Water,18,184055,Rainy,2026-03-05 01:18:45,24,Low
MUM-5313,Chembur,Garbage,17,380951,Sunny,2026-03-05 01:19:06,8,Medium
MUM-2187,Andheri,Drainage,94,847563,Sunny,2026-03-05 01:20:20,99,High
MUM-6405,CST,Water,12,130620,Sunny,2026-03-05 01:21:53,9,Medium
MUM-6725,Thane,Water,100,712502,Rainy,2026-03-05 01:23:29,109,High
MUM-1585,Thane,Drainage,89,689086,Rainy,2026-03-05 01:24:25,110,High
MUM-4856,Hiranandani,Water,18,160226,Sunny,2026-03-05 01:24:53,18,Low
MUM-5629,CST,Water,9,131606,Sunny,2026-03-05 01:26:45,14,Low
MUM-4887,Goregaon,Water,37,491062,Sunny,2026-03-05 01:30:03,41,Medium
MUM-6652,Goregaon,Roads,20,473966,Sunny,2026-03-05 01:31:42,26,Low
MUM-8587,Bhayander,Drainage,52,526990,Cloudy,2026-03-05 01:34:03,41,Medium
MUM-5361,Andheri,Drainage,11,855496,Cloudy,2026-03-05 01:35:00,11,High
MUM-1547,Jogeshwari,Drainage,26,397737,Sunny,2026-03-05 01:47:35,23,Low
MUM-5840,Bhayander,Drainage,72,507250,Sunny,2026-03-05 01:51:58,67,Medium
MUM-6237,Juhu,Drainage,21,203998,Cloudy,2026-03-05 01:54:13,33,Medium
MUM-6911,Lower Parel,Garbage,94,214467,Sunny,2026-03-05 01:55:12,98,Medium
MUM-9257,Vile Parle,Water,5,322968,Sunny,2026-03-05 01:57:24,2,Low
MUM-7699,Malad,Roads,97,564260,Cloudy,2026-03-05 02:02:41,109,High
MUM-10687,Matunga,Water,25,264860,Rainy,2026-03-05 02:07:10,42,Medium
MUM-4810,Wadala,Drainage,31,276332,Rainy,2026-03-05 02:07:31,48,High
MUM-7342,Lower Parel,Garbage,10,211281,Sunny,2026-03-05 02:08:21,12,Low
MUM-2846,Worli,Roads,19,226751,Sunny,2026-03-05 02:14:17,106,Low
MUM-3779,Colaba,Roads,63,179351,Cloudy,2026-03-05 02:14:42,74,High
MUM-9467,Churchgate,Roads,7,116921,Cloudy,2026-03-05 02:21:56,12,Low
MUM-7928,Chembur,Garbage,50,393216,Sunny,2026-03-05 02:22:18,134,High
MUM-3366,Sion,Drainage,51,339724,Rainy,2026-03-05 02:30:45,68,High
MUM-7714,Versova,Roads,16,175270,Cloudy,2026-03-05 02:41:25,8,Low
MUM-2786,Churchgate,Water,10,123447,Sunny,2026-03-05 02:53:41,16,Medium
MUM-7405,Dadar,Garbage,38,497701,Sunny,2026-03-05 02:59:07,37,High
MUM-9513,Borivali,Garbage,35,588978,Sunny,2026-03-05 03:02:30,60,Low
MUM-7455,Dharavi,Garbage,52,690507,Sunny,2026-03-05 03:07:45,179,Medium
MUM-9993,Parel,Garbage,15,297858,Cloudy,2026-03-05 03:12:25,10,Low
MUM-1080,Juhu,Drainage,22,195095,Cloudy,2026-03-05 03:13:21,33,Medium
MUM-1189,Fort,Roads,13,153739,Sunny,2026-03-05 03:28:01,9,Low
MUM-10921,Bhayander,Drainage,60,506820,Sunny,2026-03-05 03:35:57,50,Medium
MUM-4186,Borivali,Drainage,95,599576,Rainy,2026-03-05 03:40:48,72,Low
MUM-10306,Parel,Drainage,22,296189,Cloudy,2026-03-05 03:41:55,21,High
MUM-9638,Goregaon,Roads,55,491846,Cloudy,2026-03-05 03:44:55,37,Medium
MUM-6003,Bhayander,Roads,36,518631,Rainy,2026-03-05 03:47:01,47,High
MUM-1348,Borivali,Garbage,64,598580,Cloudy,2026-03-05 03:47:27,52,High
MUM-8741,Vile Parle,Garbage,7,321181,Sunny,2026-03-05 03:53:42,5,Low
MUM-3496,Dharavi,Garbage,65,688832,Cloudy,2026-03-05 03:56:30,108,High
MUM-9132,Juhu,Roads,10,196791,Sunny,2026-03-05 03:56:41,16,Low
MUM-10988,Matunga,Water,28,261690,Sunny,2026-03-05 04:02:16,28,Medium
MUM-1308,Colaba,Water,15,183045,Cloudy,2026-03-05 04:18:39,9,Medium
MUM-10699,Andheri,Garbage,75,842502,Cloudy,2026-03-05 04:22:07,59,High
MUM-8603,Malad,Water,40,547868,Cloudy,2026-03-05 04:31:32,140,High
MUM-8838,Juhu,Garbage,9,205174,Sunny,2026-03-05 04:39:09,8,Low
MUM-1027,Dharavi,Water,81,700112,Sunny,2026-03-05 04:43:52,17,High
MUM-10053,Kurla,Garbage,49,427823,Cloudy,2026-03-05 04:59:54,29,High
MUM-7766,Goregaon,Drainage,34,466362,Sunny,2026-03-05 05:00:51,20,Medium
MUM-4812,Lower Parel,Roads,22,210324,Cloudy,2026-03-05 05:11:46,24,Low
MUM-3700,Juhu,Drainage,77,203311,Sunny,2026-03-05 05:17:57,103,High
MUM-5593,Juhu,Garbage,21,194069,Cloudy,2026-03-05 05:23:49,13,Low
MUM-2711,Malad,Water,45,550165,Cloudy,2026-03-05 05:25:19,49,Medium
MUM-6565,Versova,Garbage,21,177435,Cloudy,2026-03-05 05:26:38,28,Medium
MUM-5959,Versova,Drainage,18,170317,Rainy,2026-03-05 05:31:54,18,Low
MUM-9948,Kurla,Garbage,33,424306,Sunny,2026-03-05 05:32:03,26,Medium
MUM-7396,Matunga,Garbage,27,260753,Cloudy,2026-03-05 05:37:02,20,High
MUM-3951,Churchgate,Drainage,4,119127,Sunny,2026-03-05 05:37:26,2,Low
MUM-1423,Santacruz,Garbage,24,296751,Cloudy,2026-03-05 05:44:48,13,Medium
MUM-6229,Hiranandani,Roads,14,155307,Sunny,2026-03-05 05:45:40,23,Low
MUM-1773,Kurla,Drainage,85,417454,Sunny,2026-03-05 06:03:48,79,High
MUM-9344,Ghatkopar,Roads,2,461428,Rainy,2026-03-05 06:05:31,2,Medium
MUM-6943,Churchgate,Drainage,11,117333,Sunny,2026-03-05 06:08:19,12,Low
MUM-4226,Vile Parle,Garbage,8,329691,Sunny,2026-03-05 06:09:53,12,High
MUM-2190,Juhu,Water,48,203334,Cloudy,2026-03-05 06:10:35,51,Medium
MUM-5690,Bhayander,Water,45,527048,Sunny,2026-03-05 06:26:00,24,High
MUM-3616,Thane,Roads,48,701728,Sunny,2026-03-05 06:32:19,43,Medium
MUM-3267,Vikhroli,Water,21,311430,Sunny,2026-03-05 06:32:37,12,Low
MUM-4904,Mulund,Drainage,5,375411,Sunny,2026-03-05 06:44:17,5,Low
MUM-5202,Chembur,Drainage,50,396855,Rainy,2026-03-05 06:58:50,80,Medium
MUM-1712,Jogeshwari,Roads,48,417404,Sunny,2026-03-05 06:59:36,24,High
MUM-4797,Vikhroli,Roads,11,309188,Cloudy,2026-03-05 07:00:51,11,Medium
MUM-3709,Dharavi,Garbage,100,707266,Rainy,2026-03-05 07:01:15,157,High
MUM-1302,Worli,Garbage,18,227576,Cloudy,2026-03-05 07:09:01,24,Low
MUM-4264,Fort,Roads,5,147927,Sunny,2026-03-05 07:20:05,112,Low
MUM-10937,Powai,Drainage,31,313930,Rainy,2026-03-05 07:22:32,39,Low
MUM-1400,Kurla,Roads,19,427879,Cloudy,2026-03-05 07:31:07,21,High
MUM-2249,Thane,Roads,45,693524,Rainy,2026-03-05 07:37:57,51,Medium
MUM-2592,Borivali,Water,24,582797,Cloudy,2026-03-05 07:41:38,19,Low
MUM-1692,Mulund,Drainage,27,361378,Sunny,2026-03-05 07:42:14,15,Medium
MUM-2380,Dharavi,Roads,29,691498,Cloudy,2026-03-05 07:50:41,45,Low
MUM-10311,Vikhroli,Roads,87,316810,Sunny,2026-03-05 07:52:33,47,High
MUM-4069,Ghatkopar,Drainage,44,455188,Sunny,2026-03-05 07:54:09,70,Medium
MUM-10673,Kurla,Drainage,22,439824,Sunny,2026-03-05 07:57:48,19,Low
MUM-7723,Bhayander,Water,1,523138,Sunny,2026-03-05 08:11:17,1,Low
MUM-10226,Versova,Drainage,14,177104,Cloudy,2026-03-05 08:15:38,15,Low
MUM-5176,Lower Parel,Roads,33,206244,Sunny,2026-03-05 08:18:37,37,Medium
MUM-3201,Powai,Garbage,31,315489,Sunny,2026-03-05 08:20:47,55,Medium
MUM-2073,Vile Parle,Garbage,26,322956,Sunny,2026-03-05 08:22:38,43,Low
MUM-4379,Wadala,Roads,42,273783,Sunny,2026-03-05 08:22:51,49,Medium
MUM-2798,Bandra,Water,21,311049,Rainy,2026-03-05 08:30:55,31,High
MUM-5738,Santacruz,Garbage,16,303082,Cloudy,2026-03-05 08:39:55,23,Low
MUM-6074,Parel,Water,19,281305,Sunny,2026-03-05 08:44:17,10,Low
MUM-7436,Matunga,Water,30,266824,Cloudy,2026-03-05 08:47:18,18,High
MUM-10766,Chembur,Water,20,384599,Sunny,2026-03-05 08:55:29,160,Medium
MUM-9600,Colaba,Roads,10,183156,Rainy,2026-03-05 09:03:11,14,Low
MUM-4442,Malad,Water,32,538419,Cloudy,2026-03-05 09:06:48,44,Medium
MUM-10049,Chembur,Water,34,399487,Sunny,2026-03-05 09:17:42,48,Medium
MUM-5188,Malad,Garbage,59,558874,Sunny,2026-03-05 09:18:42,77,Medium
MUM-7748,Fort,Water,12,148173,Sunny,2026-03-05 09:24:36,13,Low
MUM-5296,Wadala,Drainage,34,284981,Sunny,2026-03-05 09:39:22,29,Medium
MUM-6887,Dharavi,Water,81,712595,Sunny,2026-03-05 09:39:47,106,High
MUM-4233,Matunga,Roads,32,262090,Cloudy,2026-03-05 09:47:05,28,Medium
MUM-3420,Bandra,Garbage,1,310852,Rainy,2026-03-05 09:47:10,0,Medium
MUM-8180,Vile Parle,Garbage,25,330176,Cloudy,2026-03-05 09:50:10,21,Medium
MUM-2829,Juhu,Drainage,25,200383,Cloudy,2026-03-05 09:51:18,20,Medium
MUM-5670,Bandra,Water,6,319431,Sunny,2026-03-05 10:07:31,4,Medium
MUM-1465,Thane,Garbage,100,729767,Sunny,2026-03-05 10:17:02,120,Medium
MUM-4526,Powai,Drainage,15,309273,Cloudy,2026-03-05 10:25:04,26,Medium
MUM-4395,Parel,Garbage,16,296773,Cloudy,2026-03-05 10:26:12,86,Low
MUM-7912,Santacruz,Water,32,298549,Sunny,2026-03-05 10:28:14,154,High
MUM-3815,Wadala,Roads,21,273691,Sunny,2026-03-05 10:34:22,15,Medium
MUM-1445,Andheri,Garbage,100,852990,Sunny,2026-03-05 10:40:11,55,Medium
MUM-2473,Sion,Garbage,19,347233,Sunny,2026-03-05 10:53:27,12,Medium
MUM-6004,CST,Drainage,58,130007,Cloudy,2026-03-05 10:56:31,88,Medium
MUM-10265,Bhayander,Water,76,517083,Sunny,2026-03-05 10:57:01,97,High
MUM-1722,Matunga,Drainage,99,258200,Sunny,2026-03-05 11:03:05,153,High
MUM-1440,Vikhroli,Garbage,19,308493,Sunny,2026-03-05 11:06:32,18,Low
MUM-4368,Matunga,Water,22,261225,Cloudy,2026-03-05 11:09:51,18,Medium
MUM-2591,Vile Parle,Water,30,337176,Sunny,2026-03-05 11:11:25,17,Medium
MUM-1593,Worli,Drainage,25,228185,Cloudy,2026-03-05 11:13:55,37,Low
MUM-10042,Jogeshwari,Roads,42,404655,Rainy,2026-03-05 11:14:42,57,Low
MUM-9734,Borivali,Garbage,62,588242,Cloudy,2026-03-05 11:19:21,102,Medium
MUM-4821,Sion,Drainage,22,346403,Cloudy,2026-03-05 11:19:22,34,Medium
MUM-10945,Powai,Garbage,20,309048,Cloudy,2026-03-05 11:21:21,17,High
MUM-6798,Vikhroli,Water,28,301132,Sunny,2026-03-05 11:25:43,112,Low
MUM-3126,Powai,Drainage,27,311178,Sunny,2026-03-05 11:27:42,18,Low
MUM-8967,Churchgate,Garbage,10,122770,Cloudy,2026-03-05 11:31:17,10,Low
MUM-7921,Matunga,Roads,24,255869,Sunny,2026-03-05 11:32:06,26,Medium
MUM-9599,Wadala,Roads,29,287131,Sunny,2026-03-05 11:40:49,16,Medium
MUM-4949,Mulund,Roads,65,379873,Sunny,2026-03-05 11:43:26,114,High
MUM-8966,Dadar,Drainage,57,489827,Cloudy,2026-03-05 11:48:09,85,Medium
MUM-10899,Ghatkopar,Garbage,34,462870,Sunny,2026-03-05 11:57:34,17,Medium
MUM-5369,Chembur,Water,30,384657,Sunny,2026-03-05 11:57:42,43,Low
MUM-3101,Borivali,Garbage,37,617495,Rainy,2026-03-05 12:01:13,61,High
MUM-7467,Jogeshwari,Roads,33,401963,Sunny,2026-03-05 12:02:01,26,High
MUM-2744,Wadala,Water,3,279937,Sunny,2026-03-05 12:14:46,1,Low
MUM-6001,Dadar,Drainage,44,485701,Cloudy,2026-03-05 12:24:29,46,Medium
MUM-2392,Kandivali,Drainage,42,605102,Cloudy,2026-03-05 12:32:53,57,Medium
MUM-7145,Borivali,Drainage,32,592179,Sunny,2026-03-05 12:33:41,45,Medium
MUM-8836,Vikhroli,Roads,26,303440,Cloudy,2026-03-05 12:39:52,33,Medium
MUM-10155,Wadala,Water,90,279552,Cloudy,2026-03-05 12:42:21,153,High
MUM-10344,Bandra,Garbage,24,323906,Sunny,2026-03-05 12:43:17,38,Low
MUM-10725,Matunga,Roads,14,264711,Sunny,2026-03-05 12:49:48,8,Low
MUM-6716,Matunga,Drainage,7,258674,Cloudy,2026-03-05 12:50:25,7,Medium
MUM-6960,Sion,Garbage,49,330001,Rainy,2026-03-05 12:54:12,131,High
MUM-3337,Vikhroli,Water,14,314533,Sunny,2026-03-05 12:54:38,165,Low
MUM-8338,Kandivali,Roads,80,625521,Sunny,2026-03-05 12:57:52,110,High
MUM-6783,CST,Roads,14,127869,Sunny,2026-03-05 13:07:52,18,Low
MUM-5901,Churchgate,Garbage,12,119736,Cloudy,2026-03-05 13:13:21,14,Low
MUM-10981,Wadala,Drainage,14,273115,Sunny,2026-03-05 13:23:13,20,Medium
MUM-2748,Powai,Garbage,14,309140,Sunny,2026-03-05 13:31:43,21,Low
MUM-1172,Bandra,Water,41,327575,Sunny,2026-03-05 13:40:00,66,Medium
MUM-3932,Hiranandani,Water,84,157307,Cloudy,2026-03-05 13:43:24,141,High
MUM-3492,Borivali,Water,50,614992,Cloudy,2026-03-05 13:45:05,57,High
MUM-2948,Ghatkopar,Garbage,26,448657,Cloudy,2026-03-05 13:45:28,37,Low
MUM-4244,Wadala,Roads,14,277560,Sunny,2026-03-05 13:52:54,22,Medium
MUM-7903,Bhayander,Water,51,506234,Sunny,2026-03-05 13:56:14,57,High
MUM-9017,Bhayander,Roads,32,521625,Sunny,2026-03-05 13:57:13,57,High
MUM-6982,Kandivali,Water,31,634694,Sunny,2026-03-05 14:02:11,29,Medium
MUM-9561,Chembur,Roads,40,385012,Sunny,2026-03-05 14:04:56,147,High
MUM-7297,Santacruz,Drainage,30,286653,Sunny,2026-03-05 14:07:39,51,Medium
MUM-7993,Kandivali,Drainage,100,629602,Cloudy,2026-03-05 14:22:20,64,High
MUM-5305,Dadar,Drainage,51,504549,Sunny,2026-03-05 14:22:20,49,High
MUM-5976,Malad,Garbage,40,541791,Cloudy,2026-03-05 14:24:12,34,Medium
MUM-1917,Juhu,Water,17,198018,Sunny,2026-03-05 14:33:50,1,Low
MUM-3552,Juhu,Roads,20,199528,Sunny,2026-03-05 14:33:59,20,Low
MUM-8368,Borivali,Water,15,617945,Sunny,2026-03-05 14:36:06,23,Medium
MUM-1350,Jogeshwari,Drainage,71,398763,Cloudy,2026-03-05 14:40:55,122,High
MUM-5002,Goregaon,Roads,36,486491,Rainy,2026-03-05 14:45:40,55,High
MUM-7718,Andheri,Drainage,85,832592,Sunny,2026-03-05 14:47:19,53,Medium
MUM-10170,Wadala,Drainage,56,272714,Rainy,2026-03-05 15:04:52,39,Medium
MUM-2689,Matunga,Roads,10,261703,Sunny,2026-03-05 15:07:56,13,Medium
MUM-7485,Mulund,Drainage,45,366504,Sunny,2026-03-05 15:10:29,79,Medium
MUM-9885,Juhu,Drainage,24,197189,Cloudy,2026-03-05 15:10:54,38,Low
MUM-2563,Dadar,Roads,13,490681,Sunny,2026-03-05 15:18:42,18,Low
MUM-3334,Parel,Drainage,20,289237,Sunny,2026-03-05 15:23:41,23,Low
MUM-5105,Matunga,Drainage,18,260359,Sunny,2026-03-05 15:27:43,21,High
MUM-7045,Versova,Water,51,178022,Sunny,2026-03-05 15:35:19,34,Low
MUM-9358,Juhu,Roads,26,196645,Cloudy,2026-03-05 15:36:37,41,High
MUM-1283,Lower Parel,Drainage,17,208131,Cloudy,2026-03-05 15:44:12,9,High
MUM-9240,Borivali,Roads,41,599902,Sunny,2026-03-05 15:45:09,48,Medium
MUM-5968,Churchgate,Drainage,7,122449,Sunny,2026-03-05 15:45:41,7,Medium
MUM-6178,Dharavi,Water,27,683669,Sunny,2026-03-05 15:48:28,39,Medium
MUM-2966,Mulund,Water,39,366168,Sunny,2026-03-05 15:49:57,42,Medium
MUM-5151,Fort,Roads,12,148958,Cloudy,2026-03-05 15:53:55,14,Low
MUM-3502,Parel,Roads,15,292927,Sunny,2026-03-05 15:56:51,22,Low
MUM-1351,Parel,Roads,26,290101,Sunny,2026-03-05 16:19:33,40,Low
MUM-7106,Bandra,Garbage,45,328529,Rainy,2026-03-05 16:24:48,44,High
MUM-5183,Juhu,Garbage,97,194982,Rainy,2026-03-05 16:28:24,85,Low
MUM-4077,CST,Water,11,128789,Rainy,2026-03-05 16:29:40,14,High
MUM-5153,Hiranandani,Roads,9,163752,Sunny,2026-03-05 16:33:59,6,Low
MUM-7754,Borivali,Garbage,44,607041,Sunny,2026-03-05 16:36:00,65,Low
MUM-10892,Lower Parel,Water,10,211157,Cloudy,2026-03-05 16:44:06,9,Low
MUM-7262,Santacruz,Roads,28,288938,Sunny,2026-03-05 17:08:58,22,Low
MUM-1548,Colaba,Water,8,181760,Rainy,2026-03-05 17:13:37,14,Low
MUM-8319,Wadala,Drainage,69,285837,Rainy,2026-03-05 17:22:36,57,High
MUM-8917,Worli,Water,35,235470,Cloudy,2026-03-05 17:24:04,43,High
MUM-2848,Dharavi,Water,58,707384,Cloudy,2026-03-05 17:24:35,44,Low
MUM-4504,Ghatkopar,Water,28,465496,Cloudy,2026-03-05 17:25:44,16,Low
MUM-10742,Malad,Water,46,553421,Sunny,2026-03-05 17:28:32,74,High
MUM-9704,Kurla,Water,30,431821,Sunny,2026-03-05 17:29:48,34,Medium
MUM-4216,Lower Parel,Water,30,207752,Sunny,2026-03-05 17:31:27,36,Medium
MUM-10034,Dharavi,Roads,57,719399,Cloudy,2026-03-05 17:35:15,45,Medium
MUM-1777,Versova,Water,5,171255,Sunny,2026-03-05 17:45:30,8,Low
MUM-10112,Versova,Garbage,11,175292,Sunny,2026-03-05 17:52:13,7,Low
MUM-2037,Vile Parle,Water,37,334985,Rainy,2026-03-05 18:01:39,62,Low
MUM-2177,Powai,Water,28,317327,Sunny,2026-03-05 18:03:01,37,Medium
MUM-5112,Hiranandani,Roads,7,164266,Sunny,2026-03-05 18:04:41,8,High
MUM-1997,Kandivali,Garbage,38,636365,Sunny,2026-03-05 18:15:51,35,Low
MUM-9621,Bhayander,Water,41,507725,Sunny,2026-03-05 18:16:06,41,Medium
MUM-4599,Dharavi,Roads,62,691055,Cloudy,2026-03-05 18:18:06,58,High
MUM-5570,Matunga,Garbage,6,263371,Sunny,2026-03-05 18:19:36,4,Low
MUM-10970,Sion,Drainage,29,336025,Cloudy,2026-03-05 18:21:34,41,High
MUM-10874,Lower Parel,Roads,3,216033,Sunny,2026-03-05 18:24:35,2,Low
MUM-5120,CST,Water,7,133326,Rainy,2026-03-05 18:25:34,197,Low
MUM-1774,Churchgate,Garbage,9,120945,Sunny,2026-03-05 18:34:52,7,Low
MUM-1552,Ghatkopar,Drainage,21,472481,Rainy,2026-03-05 18:38:06,31,Low
MUM-10489,Churchgate,Drainage,10,120396,Cloudy,2026-03-05 18:48:21,5,Low
MUM-4319,Santacruz,Drainage,28,294720,Cloudy,2026-03-05 18:52:14,50,Low
MUM-9900,Bhayander,Garbage,33,517102,Cloudy,2026-03-05 18:56:44,42,Medium
MUM-8464,Kurla,Roads,49,423092,Cloudy,2026-03-05 18:58:15,40,Low
MUM-9804,Andheri,Garbage,95,832102,Sunny,2026-03-05 19:10:16,106,High
MUM-3647,Matunga,Garbage,16,261334,Sunny,2026-03-05 19:14:41,15,Low
MUM-4167,Parel,Garbage,89,291477,Sunny,2026-03-05 19:16:57,149,Medium
MUM-8402,Wadala,Garbage,26,283847,Sunny,2026-03-05 19:18:53,37,Low
